,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
219,3977,37436,37436,160.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,12.0,,,0,21.009967,105.823136,54000.0,337.5,,,5e958eea208d0d6d7648fdd3,25,30.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e12c,Phường Trung Liệt
220,3998,37457,37457,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,4.5,,KXĐ,0,21.017649,105.830046,25500.0,255.0,,,5e958eea208d0d6d7648fdc1,11,20.0,Mặt phố - Mặt đường,,
221,3999,37458,37458,80.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,2.0,5.0,,KXĐ,0,21.017649,105.830046,21000.0,262.5,,,5e958eea208d0d6d7648fdc1,11,20.0,Mặt phố - Mặt đường,,
222,4250,37710,37710,94.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,6.0,,,0,21.0092227,105.8143864,32000.0,340.4255319148936,,,5e958eea208d0d6d7648fdae,81,32.0,Mặt phố - Mặt đường,,
223,4251,37711,37711,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,5.0,,,0,21.017649,105.830046,21600.0,432.0,,,,-1,50.0,Mặt phố - Mặt đường,,
224,4252,37712,37712,135.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,6.0,,,0,21.0153717,105.8128851,45000.0,333.3333333333333,,,5e958eea208d0d6d7648fdc4,14,40.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
225,4253,37713,37713,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,4.5,,,0,21.028194600000006,105.8390746,18000.0,180.0,,,5e958eea208d0d6d7648fd8b,55,5.0,Mặt phố - Mặt đường,,
226,4272,37732,37732,130.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,6.0,,,0,21.009967,105.823136,15000.0,115.3846153846154,,,5e958eea208d0d6d7648fd97,76,6.0,Mặt phố - Mặt đường,,
227,4273,37733,37733,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.0,,,0,21.017649,105.830046,12000.0,300.0,,,5e958eea208d0d6d7648fdc5,15,10.0,Mặt phố - Mặt đường,,
228,4298,37758,37758,133.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,6.0,,,0,21.0153717,105.8128851,45000.0,338.3458646616542,,,5e958eea208d0d6d7648fdc4,14,15.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
